id,name,genres,followers,popularity,mean_danceability,sd_danceability,mean_energy,sd_energy,mean_key,sd_key,mean_loudness,sd_loudness,mean_mode,sd_mode,mean_speechiness,sd_speechiness,mean_acousticness,sd_acousticness,mean_instrumentalness,sd_instrumentalness,mean_liveness,sd_liveness,mean_valence,sd_valence,mean_tempo,sd_tempo,mean_duration_ms,sd_duration_ms,mean_time_signature,sd_time_signature,mean_chorus_hit,sd_chorus_hit,mean_sections,sd_sections,mean_target,sd_target
0Mz5XE0kb1GBnbLQm2VbcO,Mos Def,"['alternative hip hop', 'conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap', 'southern hip hop']",1036670.0,68,0.78,0.0028284271,0.5665,0.0318198052,1.0,0.0,-5.586,1.0733880938,1.0,0.0,0.1985,0.0134350288,0.151,0.0042426407,0.0,0.0,0.12745,0.0516895057,0.8645,0.006363961,90.444,0.0084852814,224084.5,760.1397897755,4.0,0.0,18.277955,0.467150095,13.5,0.7071067812,0.0,0.0
2hJPr4lk7Q8SSvCVBl9fWM,Kip Moore,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",1015417.0,68,0.5384,0.1454297081,0.7214,0.1978011628,4.2,3.8987177379,-6.3394,2.5189138135,1.0,0.0,0.03492,0.0080082458,0.050138,0.0654064387,2.44e-06,5.456e-06,0.27712,0.2161033827,0.55856,0.3163900567,121.6476,42.7692562514,206216.2,29339.8469440452,3.4,1.3416407865,34.778038,16.6141392244,9.0,2.5495097568,1.0,0.0
3TNt4aUIxgfy9aoaft5Jj2,Yeah Yeah Yeahs,"['alternative dance', 'alternative rock', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'rock']",1005825.0,68,0.5115,0.0134350288,0.8945,0.0657609307,8.0,1.4142135624,-4.295,1.2713779926,1.0,0.0,0.0683,0.0046669048,0.010373,0.0141803194,0.15950605,0.2255585072,0.317,0.3337544007,0.2105,0.1223294731,139.261,27.5460517679,203560.0,23231.2861891028,4.0,0.0,30.406395,0.1729512476,8.0,1.4142135624,1.0,0.0
7A9yZMTrFZcgEWAX2kBfK6,Huey Lewis & The News,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock']",1005669.0,68,0.6293,0.0959380831,0.7313,0.1077922466,5.25,3.918579227,-8.47635,2.9506458397,0.9,0.3077935056,0.03435,0.0079209582,0.1010667,0.0977531133,7.37395e-05,0.0001504524,0.19128,0.1225202823,0.8198,0.1339554521,125.49975,17.6654640914,249249.95,74385.4879370227,3.9,0.3077935056,39.6002795,17.2449619143,10.6,2.8172401575,1.0,0.0
5dbuFbrHa1SJlQhQX9OUJ2,Don Henley,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'yacht rock']",983412.0,68,0.6223571429,0.086676771,0.5826428571,0.1776299555,5.6428571429,3.1282126344,-10.3691428571,2.7944971987,0.7142857143,0.4688072309,0.0301214286,0.0047146545,0.2185571429,0.1250843452,0.0006024521,0.0016219537,0.1284285714,0.1529031138,0.5832214286,0.3058256823,114.584,33.1954111819,303701.1428571428,63077.1819828779,4.0,0.0,38.0360121429,19.1475735119,12.9285714286,3.4743961449,1.0,0.0
319yZVtYM9MBGqmSQnMyY6,Carole King,"['adult standards', 'brill building pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",982491.0,68,0.6049090909,0.1149812633,0.5912727273,0.1199650707,3.0909090909,2.8090761988,-10.1889090909,2.3535999853,0.9090909091,0.3015113446,0.0322272727,0.0044258538,0.4102909091,0.3399977778,0.0837169264,0.2023412104,0.2139545455,0.1933009848,0.7735454545,0.134555835,131.4135454545,20.1419871729,197175.7272727273,34796.5634828812,4.0,0.0,40.9960763636,19.4146131539,8.8181818182,2.0404990477,1.0,0.0
1XgFuvRd7r5g0h844A5ZUQ,Take That,"['boy band', 'dance pop', 'europop']",979482.0,68,0.6,,0.504,,5.0,,-9.761,,1.0,,0.0292,,0.308,,0.0,,0.137,,0.547,,78.961,,242267.0,,4.0,,41.21244,,9.0,,1.0,
0GByy3DcfbQwDvXGCWmzv9,Pretenders,"['album rock', 'art rock', 'classic rock', 'folk', 'folk rock', 'lilith', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'rock', 'soft rock']",976063.0,68,0.5446666667,0.0778154869,0.8022222222,0.1558081976,4.4444444444,4.0960685758,-6.3557777778,0.8194877635,0.7777777778,0.4409585518,0.0390111111,0.015099209,0.1030066667,0.1320622606,0.0270920544,0.029097175,0.1889666667,0.220720015,0.6602222222,0.1922594457,141.6798888889,31.0542885623,225777.6666666667,31114.1810393589,4.0,0.0,36.87695,12.2433219645,10.3333333333,2.0,1.0,0.0
70ZTdbPEcEugBNay4MvxfL,Bread,"['adult standards', 'folk', 'folk rock', 'mellow gold', 'soft rock']",962658.0,68,0.4451538462,0.1399022553,0.3844769231,0.2314266412,6.4615384615,3.356967496,-13.684,3.6387616254,0.9230769231,0.2773500981,0.0342384615,0.0077875476,0.5249307692,0.272253183,0.0012794146,0.0036309191,0.1407153846,0.0694479043,0.4748461538,0.1824695619,124.0166153846,32.9837660689,173788.6153846154,27264.0760053055,4.0,0.0,33.4204392308,7.0034656908,9.2307692308,2.2043081361,1.0,0.0
1W3FSF1BLpY3hlVIgvenLz,The-Dream,"['dance pop', 'hip hop', 'hip pop', 'pop r&b', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",934380.0,68,0.71775,0.030181396,0.482,0.1287452264,5.75,3.8622100754,-6.0485,2.4975161661,0.75,0.5,0.0372,0.005514224,0.090975,0.0641103411,1.5025e-05,3.005e-05,0.150375,0.0952674962,0.3849,0.2499982133,93.506,25.8359378515,248253.25,24937.5163475301,4.0,0.0,53.2831175,27.4710871923,10.75,0.5,1.0,0.0
2M4Yt7oKGoYd0wqU44k4i2,Travis Tritt,"['contemporary country', 'country', 'country road', 'country rock', 'outlaw country']",901316.0,68,0.5366,0.1431408397,0.5928,0.1855739745,7.2,1.4832396974,-6.0818,1.2119914191,0.8,0.4472135955,0.02778,0.0039328107,0.2382,0.0928369538,3.812e-06,7.8914e-06,0.18348,0.081565017,0.4578,0.2971046954,106.367,27.4421968053,245901.2,26033.4063695092,4.0,0.0,57.609162,29.5149930375,10.6,3.6469165058,1.0,0.0
630wzNP2OL7fl4Xl0GnMWq,BABYMETAL,"['comic metal', 'idol rock', 'j-metal', 'kawaii metal']",877001.0,68,0.4415333333,0.1193834558,0.9279333333,0.1111533475,6.6,3.7568984168,-2.9682,1.3981845985,0.6666666667,0.4879500365,0.1453333333,0.0713581477,0.0055694,0.0141061775,0.2508793333,0.2793493637,0.3030933333,0.2055263746,0.2603333333,0.1293941468,132.4764,27.9808596131,240873.1333333333,67642.154296253,3.9333333333,0.2581988897,39.8464526667,18.2206305828,10.8666666667,2.3563490727,0.0,0.0
57ylwQTnFnIhJh4nu4rxCs,In Flames,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'melodic metalcore', 'metal', 'nu metal', 'swedish death metal', 'swedish metal']",874600.0,68,0.3758333333,0.060087991,0.973,0.0165287628,3.8333333333,3.7638632635,-4.2343333333,1.567791015,0.1666666667,0.4082482905,0.0856166667,0.0290918144,3.24333e-05,1.51644e-05,0.6283333333,0.2873344161,0.18075,0.0891570244,0.3060333333,0.1924798344,146.8123333333,26.9109114054,211684.3333333333,47872.0472621202,4.0,0.0,44.15935,19.6465912674,9.1666666667,1.9407902171,0.0,0.0
2HUwZ0kumzCSlhFcjFZfpp,Flipp Dinero,"['melodic rap', 'pop rap', 'rap', 'trap', 'vapor trap']",859827.0,68,0.792,,0.743,,7.0,,-2.806,,1.0,,0.0851,,0.107,,0.0,,0.183,,0.742,,150.024,,195637.0,,4.0,,26.11876,,12.0,,1.0,
5ND0mGcL9SKSjWIjPd0xIb,Bowling For Soup,"['comic', 'pop punk', 'texas pop punk']",854123.0,68,0.578,0.0301993377,0.866,0.0321403174,5.6666666667,4.7258156263,-4.7036666667,0.873922384,1.0,0.0,0.0485666667,0.0103558357,0.0005143333,0.0002710098,0.0,0.0,0.263,0.0755446888,0.8033333333,0.1425914911,130.303,10.012626179,198986.6666666667,6659.7697657902,4.0,0.0,34.2343766667,12.5721729934,9.3333333333,2.3094010768,1.0,0.0
3NRFinRTEqUCfaTTZmk8ek,Savage Garden,"['australian pop', 'boy band', 'dance pop', 'europop', 'pop rock']",837376.0,68,0.6028571429,0.0323338242,0.657,0.1365833079,5.0,3.829708431,-8.3662857143,1.2941286276,0.8571428571,0.377964473,0.0316714286,0.0044432399,0.1891571429,0.1617764801,1.95029e-05,2.85084e-05,0.1298857143,0.1159918737,0.6115714286,0.2465548331,109.5002857143,28.2065990134,272941.1428571428,35234.0727773017,4.0,0.0,47.2850657143,21.5461643169,10.1428571429,2.4784787961,1.0,0.0
6rJqqRce0Kvo2dJUXoHleC,Alabama,"['country', 'country road', 'country rock']",836065.0,68,0.5792222222,0.139723636,0.3310222222,0.2124764091,5.5555555556,3.1269438399,-13.5818888889,4.5919533002,1.0,0.0,0.0335111111,0.0126286821,0.3861333333,0.2768879015,5.58244e-05,0.0001433273,0.0855333333,0.0346589094,0.4573333333,0.2644957467,101.163,22.508594503,216022.3333333333,27861.4081975409,4.0,0.0,31.37723,7.3086287085,10.6666666667,2.2360679775,1.0,0.0
